item_id,local_language_id,short_effect,effect
638,9,Raises [Attack]{mechanic:attack} by two [stages]{mechanic:stage} in battle.  Wonder Launcher only.,"Used on a party Pokémon in battle
:   Raises the target's [Attack]{mechanic:attack} by two [stages]{mechanic:stage}.
This item can only be obtained or used via the Wonder Launcher."
639,9,Raises [accuracy]{mechanic:accuracy} by two [stages]{mechanic:stage} in battle.  Wonder Launcher only.,"Used on a party Pokémon in battle
:   Raises the target's [accuracy]{mechanic:accuracy} by two [stages]{mechanic:stage}.
This item can only be obtained or used via the Wonder Launcher."
640,9,Raises [Speed]{mechanic:speed} by three [stages]{mechanic:stage} in battle.  Wonder Launcher only.,"Used on a party Pokémon in battle
:   Raises the target's [Speed]{mechanic:speed} by three [stages]{mechanic:stage}.
This item can only be obtained or used via the Wonder Launcher."
641,9,Raises [Special Attack]{mechanic:special attack} by three [stages]{mechanic:stage} in battle.  Wonder Launcher only.,"Used on a party Pokémon in battle
:   Raises the target's [Special Attack]{mechanic:special attack} by three [stages]{mechanic:stage}.
This item can only be obtained or used via the Wonder Launcher."
642,9,Raises [Special Defense]{mechanic:special defense} by three [stages]{mechanic:stage} in battle.  Wonder Launcher only.,"Used on a party Pokémon in battle
:   Raises the target's [Special Defense]{mechanic:special defense} by three [stages]{mechanic:stage}.
This item can only be obtained or used via the Wonder Launcher."
643,9,Raises [Defense]{mechanic:defense} by three [stages]{mechanic:stage} in battle.  Wonder Launcher only.,"Used on a party Pokémon in battle
:   Raises the target's [Defense]{mechanic:defense} by three [stages]{mechanic:stage}.
This item can only be obtained or used via the Wonder Launcher."
644,9,Raises [Attack]{mechanic:attack} by three [stages]{mechanic:stage} in battle.  Wonder Launcher only.,"Used on a party Pokémon in battle
:   Raises the target's [Attack]{mechanic:attack} by three [stages]{mechanic:stage}.
This item can only be obtained or used via the Wonder Launcher."
645,9,Raises [accuracy]{mechanic:accuracy} by three [stages]{mechanic:stage} in battle.  Wonder Launcher only.,"Used on a party Pokémon in battle
:   Raises the target's [accuracy]{mechanic:accuracy} by three [stages]{mechanic:stage}.
This item can only be obtained or used via the Wonder Launcher."
646,9,Raises [Speed]{mechanic:speed} by six [stages]{mechanic:stage} in battle.  Wonder Launcher only.,"Used on a party Pokémon in battle
:   Raises the target's [Speed]{mechanic:speed} by six [stages]{mechanic:stage}.
This item can only be obtained or used via the Wonder Launcher."
647,9,Raises [Special Attack]{mechanic:special attack} by six [stages]{mechanic:stage} in battle.  Wonder Launcher only.,"Used on a party Pokémon in battle
:   Raises the target's [Special Attack]{mechanic:special attack} by six [stages]{mechanic:stage}.
This item can only be obtained or used via the Wonder Launcher."
648,9,Raises [Special Defense]{mechanic:special defense} by six [stages]{mechanic:stage} in battle.  Wonder Launcher only.,"Used on a party Pokémon in battle
:   Raises the target's [Special Defense]{mechanic:special defense} by six [stages]{mechanic:stage}.
This item can only be obtained or used via the Wonder Launcher."
649,9,Raises [Defense]{mechanic:defense} by six [stages]{mechanic:stage} in battle.  Wonder Launcher only.,"Used on a party Pokémon in battle
:   Raises the target's [Defense]{mechanic:defense} by six [stages]{mechanic:stage}.
This item can only be obtained or used via the Wonder Launcher."
650,9,Raises [Attack]{mechanic:attack} by six [stages]{mechanic:stage} in battle.  Wonder Launcher only.,"Used on a party Pokémon in battle
:   Raises the target's [Attack]{mechanic:attack} by six [stages]{mechanic:stage}.

This item can only be obtained or used via the Wonder Launcher."
651,9,Raises [accuracy]{mechanic:accuracy} by six [stages]{mechanic:stage} in battle.  Wonder Launcher only.,"Used on a party Pokémon in battle
:   Raises the target's [accuracy]{mechanic:accuracy} by six [stages]{mechanic:stage}.

This item can only be obtained or used via the Wonder Launcher."
652,9,Forcibly activates a friendly Pokémon's ability.,"Used on a party Pokémon in battle
:   Selects another friendly Pokémon at random.  If that Pokémon's ability is normally activated by some condition—i.e., is not continuous and passive—its effect is forcibly activated.

This item can only be obtained or used via the Wonder Launcher."
653,9,Forces a friendly Pokémon to drop its held item.,"Used on a party Pokémon in battle
:   Selects another friendly Pokémon at random.  If that Pokémon is holding an item, that item is removed for the duration of the battle.

This item can only be obtained or used via the Wonder Launcher."
654,9,Forcibly activates a friendly Pokémon's held item.,"Used on a party Pokémon in battle
:   Selects another friendly Pokémon at random.  If that Pokémon is holding an item normally activated by some condition—i.e., not continuous and passive—its effect is forcibly activated.

This item can only be obtained or used via the Wonder Launcher."
655,9,Resets a friendly Pokémon's stat changes.,"Used on a party Pokémon in battle
:   Selects another friendly Pokémon at random.  Removes all of that Pokémon's stat changes.

This item can only be obtained or used via the Wonder Launcher."
656,9,Raises [critical hit]{mechanic:critical hit} rate by three [stages]{mechanic:stage} in battle.  Wonder Launcher only.,"Used on a party Pokémon in battle
:   Raises the target's [critical hit]{mechanic:critical hit} rate by three [stages]{mechanic:stage}.
This item can only be obtained or used via the Wonder Launcher."
657,9,Summons [Reshiram]{pokemon:reshiram} for the final battle against N.,Summons [Reshiram]{pokemon:reshiram} for the final battle against N.
658,9,Summons [Zekrom]{pokemon:zekrom} for the final battle against N.,Summons [Zekrom]{pokemon:zekrom} for the final battle against N.
659,9,Teaches [Wild Charge]{move:wild-charge} to a compatible Pokémon.,Teaches [Wild Charge]{move:wild-charge} to a compatible Pokémon.
660,9,Teaches [Rock Smash]{move:rock-smash} to a compatible Pokémon.,Teaches [Rock Smash]{move:rock-smash} to a compatible Pokémon.
661,9,Teaches [Snarl]{move:snarl} to a compatible Pokémon.,Teaches [Snarl]{move:snarl} to a compatible Pokémon.
662,9,Makes four-way video calls.,"Makes four-way video calls.  Used for plot advancement in-game, but also works with other players via the C-Gear."
663,9,Unknown.  Currently unused.,Unknown.  Currently unused.
664,9,Part of a sidequest to obtain [TM89]{item:tm89}.,"Give to the [Wingull]{pokemon:wingull} on [Route 13]{location:Route 13}, along with [Gram 2]{item:gram-2} and [Gram 3]{item:gram-3}, to receive [TM89]{item:tm89}."
665,9,Part of a sidequest to obtain [TM89]{item:tm89}.,"Give to the [Wingull]{pokemon:wingull} on [Route 13]{location:Route 13}, along with [Gram 1]{item:gram-1} and [Gram 3]{item:gram-3}, to receive [TM89]{item:tm89}."
666,9,Part of a sidequest to obtain [TM89]{item:tm89}.,"Give to the [Wingull]{pokemon:wingull} on [Route 13]{location:Route 13}, along with [Gram 1]{item:gram-1} and [Gram 2]{item:gram-2}, to receive [TM89]{item:tm89}."
668,9,"Held: When the holder uses a damaging [Dragon]{type:dragon}-type move, the move has 1.5× power and this item is consumed.","Held
:   When the holder uses a damaging [Dragon]{type:dragon}-type move, the move has 1.5× power and this item is consumed."
669,9,"Held: When the holder uses a damaging [Normal]{type:normal}-type move, the move has 1.5× power and this item is consumed.","Held
:   When the holder uses a damaging [Normal]{type:normal}-type move, the move has 1.5× power and this item is consumed."
